project_name,project_description,project_stage,lead_entity,contractors,early_implementation,construction_start_year,construction_completion_year,estimated_budget,funding_sources,system,project_type,acreage,acreage_bypass_floodplain,acreage_fish_food,acreage_tributary_floodplain,acreage_tributary_rearing,acreage_tributary_spawning,acreage_tidal_wetland,target_species,display_id
McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),"Restore hydrologic function and habitat on the 1,654-acre McCormack-Williamson Tract in a manner that also helps provide flood relief to the North Delta region by reconnecting the site as a floodplain to the Mokelumne River.",post-construction monitoring and science,DWR,,True,2024,2025,51000000,,Delta,tidal habitat; tributary floodplain habitat,1654.0,1457.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-1
Grizzly Slough Floodplain Restoration,"Habitat restoration effort in southern Sacramento County, near the confluence of the Cosumnes and Mokelumne Rivers, that will restore over 200 acres of floodplain and wetland habitats to support native fish and wildlife through hydrologic reconnection and native plant enhancement.",post-construction monitoring and science,DWR,,True,2025,2025,7180000,,Delta,bypass floodplain habitat,180.0,171.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-2
Lower Elkhorn Basin Levee Setback,7 miles of setback levees in the Lower Elkhorn Basin along the east side of the Yolo Bypass.,construction,DWR,,True,2023,2026,200000000,,Yolo Bypass,bypass floodplain habitat; fish passage improvement,500.0,500.0,,,,,,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-3
Kopta Slough Multi-Benefit Project,"Restoration of 176 acres of floodplain habitat by removing rock revetment, recontouring the riverbank, and converting agricultural land back to native riparian habitats, enhancing fish and wildlife habitat, floodplain function, and public recreation opportunities, while also reducing flood management costs.",permitting,DWR,,True,2028,2030,11000000,,Sacramento,rearing habitat,170.0,,,,170.0,,,Chinook salmon; Steelhead trout,project-4
Dos Rios Norte,Enhance floodplain habitat through improved connections to the Feather River and the Sacramento River.,concept/feasibility,DWR,,False,,,25000000,,Sutter Bypass,bypass floodplain habitat,1600.0,,,1300.0,,,,Chinook salmon; Steelhead trout,project-5
Tisdale Weir Reoperation,Modify operations to create seasonal floodplain rearing habitat in the Tisdale and Sutter Bypasses.,concept/feasibility,DWR,,False,2027,2030,30000000,,Sutter Bypass,bypass floodplain habitat,10000.0,10000.0,,,,,,Chinook salmon; Steelhead trout,project-6
Agricultural Road Crossing #4 Improvements,Remove a fish passage impediment and install fish-protective screens in the Yolo Bypass.,construction,DWR,,True,2025,2026,16000000,WCB grant; USBR grant,Yolo Bypass,fish screen installation or improvement; fish passage improvement,100.0,100.0,,,,,,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-7
Prospect Island Tidal Habitat Restoration Project,"Restore daily tidal inundation across a diked historical marsh on Prospect Island (located within the Cache Slough Complex in Solano County) by breaching levees to reinstate tidal flow and enhance habitat for native fish, improve water quality, bolster climate resilience, and sequester carbon.",post-construction monitoring and science,DWR,,True,2024,2026,69400000,,Delta,tidal habitat,1600.0,,,,,,640.0,Chinook salmon; Steelhead trout; Delta smelt,project-8
Little Egbert Multi-Benefit Project,"Transformation of the Little Egbert Tract, a below-sea-level agricultural area at the southeastern end of the Yolo Bypass near Rio Vista, into enhanced habitat and flood conveyance zones by breaching existing levees, constructing subtidal swales and berms, and restoring native riparian and tidal ecosystems while also improving recreational opportunities and flood protection for nearby communities.",CEQA,DWR,,True,2028,2030,250000000,,Delta,tidal habitat; bypass floodplain habitat,3000.0,,,,,,3000.0,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-9
Tide's End Multibenefit Restoration Project,"Restoration of approximately 2,200 acres at the downstream end of the Yolo Bypass in Yolo County to create a connected network of tidal marsh, floodplain, and wildlife-friendly agricultural habitatsbalancing flood management, ecosystem enhancement, and continued land use.",CEQA,DWR,,True,2027,2028,65000000,,Yolo Bypass,tidal habitat; bypass floodplain habitat,2200.0,,,,,,1600.0,Chinook salmon; Steelhead trout; Delta smelt,project-10
Dutch Slough Tidal Restoration Project (Phase 2),"Converts approximately 1,200 acres of former grazing land near Oakley in the western SacramentoSan Joaquin Delta into a restored tidal marsh, re-establishing daily tidal flow to support native fish and wildlife, improve flood resilience, and serve as a living laboratory and community-accessed park.",construction,DWR,,True,2026,2028,46000000,,Delta,tidal habitat,1187.0,447.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-11
Feather River Salmonid Spawning Habitat Improvement - 2024,"The placement, sorting, and harvesting of gravel and cobble (1/4”-5”) to restore spawning habitat in the Feather River",construction,DWR,Reclamation District 1500,True,2026,2026,2370000,General Fund; Local Assistance (AB 179),Feather,spawning habitat,5.23,,,,,5.23,,Chinook salmon; Steelhead trout,project-12
P68 Feather River Salmon Habitat Improvement Project,"In 2023, the first phase of the P68 Feather River Salmon Habitat Improvement Project added approximately 8,300 cubic yards of optimal sized salmon spawning gravel at four locations in the Feather River between RM 63 to 67 to increase the amount of suitable and accessible spawning habitat for salmonids in the Feather River. Gravel will be added at other locations upstream of the locations that received gravel in 2023 when the second phase of the project is completed in 2026.",post-construction monitoring and science,DWR,Franklin Construction,True,2023,2023,2560000,Prop 68; CVPIA; DWR,Feather,spawning habitat,3.49,,,,,3.49,,Chinook salmon; Steelhead trout,project-13
Mokelumne River - MRDUA Large Floodplain Project,Floodplain Restoration,design; permitting,EBMUD,NA,False,2028,2029,3500000,,Mokelumne,tributary floodplain habitat,58.42712595876855,0.0,0.0,5.7,0.0,0.0,0.0,Chinook salmon,project-14
Mokelumne River - Gravel Maintenance Project - Early Implementation Projects,Gravel Maintenance,post-construction monitoring and science,EBMUD,Ford Construction,True,2018,2025,150500,DWR FAIR Funding Agreement; EBMUD Capital,Mokelumne,spawning habitat,3.123770932771279,0.0,0.0,0.0,0.0,1.27,0.0,Chinook salmon,project-15
Mokelumne River - Floodplain Restoration Projects - Early Implementation Projects,Floodplain Restoration,post-construction monitoring and science,EBMUD,Ford Construction,True,2018,2023,636550,Prop 68; EBMUD Capital,Mokelumne,tributary floodplain habitat,4.417243701947078,0.0,0.0,3.67,0.0,0.0,0.0,Chinook salmon,project-16
Mokelumne River - CE Large Floodplain Restoration Project,Floodplain Restoration,design; permitting,EBMUD,NA,False,2027,2028,2785200,DWR FAIR Funding Agreement; EBMUD Capital,Mokelumne,tributary floodplain habitat,49.107611140246505,0.0,0.0,23.5,0.0,0.0,0.0,Chinook salmon,project-17
Mokelumne River - In Channel Rearing Habitat Restoration Project,In Channel Rearing Habitat Restoration,design; permitting,EBMUD,NA,False,2027,2028,400000,DWR FAIR Funding Agreement; EBMUD Capital,Mokelumne,rearing habitat,5.546362374632067,0.0,0.0,0.0,1.0,0.0,0.0,Chinook salmon,project-18
Mokelumne River - Gravel Maintenance Project – Current and Future Maintenance Projects,Gravel Maintenance,construction,EBMUD,Ford Construction,False,2027,2034,300000,DWR FAIR Funding Agreement; EBMUD Capital,Mokelumne,spawning habitat,15.367048195676764,0.0,0.0,0.0,0.0,0.0,0.0,Chinook salmon,project-19
Oroville Wildlife Area River Restoration Project at Robinson's Riffle,"The Oroville Wildlife Area River Restoration (OWA-RR) Project at Robinson’s Riffle is a river channel and floodplain enhancement project focused on improving salmon habitat within the OWA. The project involves lowering the riverbank to generate gravel material, which will be added to the riverbed so adult fish can spawn, as well as creating side channels and floodplain habitat for juvenile fish. The project also has recreation, flood and erosion risk reduction, and aesthetic benefits.",permitting; design,Sutter Butte Flood Control Agency,R&F Engineering; Cramer Fish Sciences,False,2026,2027,32000000,Wildlife Conservation Board Greenhouse Gas Reduction Fund,Feather,rearing habitat; spawning habitat,85.0,0.0,0.0,0.0,65.2,7.9,0.0,Chinook salmon; Pacific lamprey; White sturgeon; Green sturgeon; Steelhead trout,project-20
Nishikawa on Putah Creek,Salmon habitat restoration,permitting,SCWA,Harris and Assoc; NHC; Verdantas; Wood Rogers,False,2027,2027,1500000,"CNRA Prop 68 PROTECTING CALIFORNIA'S RIVERS, STREAMS AND WATERSHEDS PROGRAM",Putah,spawning habitat; tributary floodplain habitat,1.1,,,,,1.1,,Chinook salmon,project-21
Putah Gravel Augmentation and Scarification,Salmon habitat restoration,construction,SCWA,Kleinfelder; TRPA Fish Biologists,True,2016,2040,250000,Internal SCWA funding as feasible,Putah,spawning habitat,0.5,,,,,0.5,,Chinook salmon,project-22
Putah Creek fish passage at Los Rios Check Dam,Salmon passage planning project,concept/feasibility; CEQA; permitting; design,River Partners,Stillwater,True,,,850000,CDFW,Putah,fish passage improvement,,,,,,,,Chinook salmon,project-23
Putah Creek fish passage at County Rd 106a,Salmon passage planning project,concept/feasibility; CEQA; permitting; design,SCWA,potentially CBEC/Verdantas no contract yet,True,,,1200000,Wildlife Conservation Board,Putah,fish passage improvement,,,,,,,,Chinook salmon,project-24
Upstream of Old LaGrange Bridge Restoration Project,Restoration projects aimed at improving spawning and rearing habitat below La Grange Dam,post-construction monitoring and science,San Francisco Public Utilities Commission; Modesto Irrigation District; Turlock Irrigation District,River Partners; Applied River Sciences,False,2024,2024,7500000,SFPUC; MID; TID; CDFW,Tuolumne,fish food production; rearing habitat; spawning habitat; tributary floodplain habitat,9.13,0.0,,0.58,0.19,0.4,0.0,Chinook salmon; Steelhead trout,project-25
Powerhouse Riffles Restoration Project,Restoration projects aimed at improving spawning and rearing habitat below La Grange Dam,construction,San Francisco Public Utilities Commission; Modesto Irrigation District; Turlock Irrigation District,River Partners; Applied River Sciences,False,2026,2026,4775000,SFPUC; MID; TID,Tuolumne,fish food production; rearing habitat; spawning habitat; tributary floodplain habitat,4.77,0.0,,1.91,1.14,0.77,0.0,Chinook salmon; Steelhead trout,project-26
Nimbus Basin,Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2022,2022,900000,State of California - Prop 68; Water Forum,American,spawning habitat; rearing habitat,4.7,,,,1.8,2.9,,Chinook salmon; Steelhead trout,project-27
Upper Sailor Bar,Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2019,2019,1600000,Reclamation; Water Forum,American,spawning habitat; rearing habitat,6.6,,,,2.4,4.2,,Chinook salmon; Steelhead trout,project-28
Lower Sailor Bar,Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2022,2022,2900000,State of California - Prop 68; Water Forum,American,spawning habitat; rearing habitat,17.7,,,,4.8,12.9,,Chinook salmon; Steelhead trout,project-29
Ancil Hoffman,Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2021,2021,1800000,Reclamation; Water Forum,American,spawning habitat; rearing habitat,11.9,,,,5.8,6.1,,Chinook salmon; Steelhead trout,project-30
"Upper River Bend, Phase 1",Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2023,2023,3800000,State of California - Prop 68; Reclamation; Water Forum,American,spawning habitat; rearing habitat,10.4,,,,5.7,4.7,,Chinook salmon; Steelhead trout,project-31
River Bend,Spawning and instream rearing habitat combination project.,post-construction monitoring and science,Water Forum,Verdantas; Cramer Fish Sciences,True,2024,2024,2500000,Reclamation; Water Forum,American,spawning habitat; rearing habitat,6.1,,,,3.4,2.7,,Chinook salmon; Steelhead trout,project-32
Hallwood Side Channel and Floodplain Restoration Project,"Created and enhanced frequently inundated floodplain, side channel, and other off-channel rearing habitats for salmonids.",post-construction monitoring and science,Yuba Water Agency,Verdantas; Cramer Fish Sciences; South Yuba River Citizen League; Teichert,True,2019,2023,12000000,USFWS CVPIA via BOR; Yuba Water Agency; Prop 1 (WCB); Prop 68,Yuba,rearing habitat,,,,,,,,Chinook salmon; Steelhead trout,project-33
Lower Long Bar Habitat Enhancement Project,Floodplain lowering and contouring to enhance rearing habitat for Chinook salmon and steelhead,post-construction monitoring and science,South Yuba River Citizen League,"Verdantas; Cramer Fish Sciences; Blankinship & Associates, a Bowman Company; Taber Construction",True,2022,2022,2728084,United States Fish and Wildlife Service,Yuba,rearing habitat,,,,,,,,Chinook salmon; Steelhead trout,project-34
Upper Long Bar Habitat Enhancement Project,Floodplain lowering and contouring to enhance rearing habitat for Chinook salmon and steelhead,construction,South Yuba River Citizen League,Verdantas; Cramer Fish Sciences; Anderson Dragline Construction,True,2026,2026,979500,Yuba Water Agency; Wildlife Conservation Board; California Department of Fish and Wildlife Fisheries Restoration Grant Program,Yuba,rearing habitat,,,,,,,,Chinook salmon; Steelhead trout,project-35
Upper Rose Bar Habitat Enhancement Project,Salmonid spawning habitat development. Placed spawning-sized gravel in the river to construct 2 riffles and excavated a side-of-channel floodplain area. Created one small lateral feature to support salmonid rearing.,post-construction monitoring and science,South Yuba River Citizen League,"Verdantas; Cramer Fish Sciences; Blankinship & Associates, a Bowman Company; Hansen Brothers Construction",True,2023,2024,4683797,Wildlife Conservation Board; Yuba Water Agency,Yuba,rearing habitat; spawning habitat,,,,,,,,Chinook salmon; Steelhead trout,project-36
